id,term, knowledge area
3236,DES  DATA ENCRYPTION STANDARD    ARCHITECTURE   LEAST PRIVILEGE,C
3237,DES  DATA ENCRYPTION STANDARD    ARCHITECTURE   RISK BASED CONTROLS,C
3238,DES  DATA ENCRYPTION STANDARD    ARCHITECTURE   SEPARATION OF DUTIES,C
3239,DES  DATA ENCRYPTION STANDARD    BLOCK CIPHER MODES,C
3240,DES  DATA ENCRYPTION STANDARD    DETAILED DESIGN,C
3241,DES  DATA ENCRYPTION STANDARD    DISADVANTAGES,C
3242,DES  DATA ENCRYPTION STANDARD    DOUBLE DES,C
3243,DES  DATA ENCRYPTION STANDARD    GENERAL DESIGN DOCUMENT,C
3244,DES  DATA ENCRYPTION STANDARD    MEET IN THE MIDDLE,C
3245,DES  DATA ENCRYPTION STANDARD    RELEASE MANAGEMENT,C
3246,DES  DATA ENCRYPTION STANDARD    STREAM MODES,C
3247,DES  DATA ENCRYPTION STANDARD    SYMMETRIC CRYPTOGRAPHY,C
3248,DESIGN,SSL
3249,DESIGN AND DEVELOPMENT,SSL
3250,DESIGN AND FABRICATION OF SILICON INTEGRATED CIRCUITS,HS
3251,DESIGN AND USE CRYPTOGRAPHY STANDARDS,SSL
3252,DESIGN AND VALIDATE ASSESSMENT TEST AND AUDIT STRATEGIES,AAA
3253,DESIGN BY CONTRACT,SS
3254,DESIGN CHOICES,OSV
3255,DESIGN FLAW,NS;SSL
3256,DESIGN FOR UPDATING,SSL
3257,DESIGN PHASE AUDITING,SSL
3258,DESIGN PROCESS,HS
3259,DESIGN REVIEW,SSL
3260,DESIGN BY CONTRACT,SS
3261,DESIGNATE PROGRAM DEVELOPMENT TEAM,RMG
3262,DESIGNATED APPROVING AUTHORITY  DAA ,RMG;SO
3263,DESIRED STATE FOR INFORMATION SECURITY,RMG
3264,DESKTOP APPLICATION,WAM
3265,DESKTOP COMPUTER,CPS
3266,DESKTOP VIRTUALIZATION,OSV
3267,DESOLDER,F
3268,DESTRUCTION,OSV;SO
3269,DESTRUCTION    MEDIA,SO
3270,DESTRUCTIVE INTERFERENCE,PLS
3271,DETAILED DESIGN,SSL
3272,DETAILED PLAN OF ACTION FOR INCIDENT MANAGEMENT,RMG
3273,DETECT  INCIDENT MANAGEMENT PROCESSES ,SO
3274,DETECT DENY DISRUPT DEGRADE DECEIVE,AB
3275,DETECTING ATTACKS,CPS
3276,DETECTING AUTHORIZED AND UNAUTHORIZED CHANGES,SO
3277,DETECTING BOTNETS BY DNS,SO
3278,DETECTION,SO
3279,DETECTION ALGORITHM,NS;SS;SO
3280,DETECTION ANALYSIS AND ESCALATION,SO
3281,DETECTION AND REPORTING,RMG
3282,DETECTION COMPLETENESS,SS
3283,DETECTION EFFICIENCY,SO
3284,DETECTION OF VULNERABILITIES,SS
3285,DETECTION SIGNATURE,NS;WAM;SO
3286,DETECTION SOUNDNESS,SS
3287,DETECTION TUNING,SO
3288,DETECTIVE CONTROLS,SO
3289,DETENSE IN DEPTH,SO
3290,DETERMINATION   DE VIGENERE BLAIS,C
3291,DETERMINATION   OF IMPACT,RMG
3292,DETERMINATION   OF RISK,RMG
3293,DETERMINE AND MAINTAIN INFORMATION AND ASSET OWNERSHIP,SO
3294,DETERMINE COMPLIANCE REQUIREMENTS,RMG
3295,DETERMINE METHODOLOGIES,RMG
3296,DETERMINE OBJECTIVES,RMG
3297,DETERMINING APPROPRIATE RECORDS RETENTION,LR
3298,DETERMINING RISK CAPACITY AND ACCEPTABLE RISK  RISK APPETITE ,RMG
3299,DETERMINING SUCCESS OF INFORMATION SECURITY INVESTMENTS,SO
3300,DETERMINING THE CURRENT STATE OF SECURITY,RMG
3301,DETERMINING THE EXPOSURE FACTOR  EF ,RMG
3302,DETERMINING THE RISK MANAGEMENT CONTEXT,RMG
3303,DETERMINISTIC ALGORITHM,PLS;C;POR;FM;SS;DSS;AC
3304,DETERMINISTIC ENCRYPTION,POR
3305,DETERMINISTIC FINITE AUTOMATA,CPS
3306,DETERMINISTIC ROUTING,NS
3307,DETERRENCE,LR;AAA
3308,DETERRENT CONTROLS,SO;SSL
3309,DEVELOP,RMG
3310,DEVELOP A SECURE UPGRADE PROCESS,SSL
3311,DEVELOP AND DOCUMENT SCOPE AND PLAN,RMG
3312,DEVELOP CONTENT,HF
3313,DEVELOP DOCUMENT AND IMPLEMENT SECURITY POLICY STANDARDS PROCEDURES AND GUIDELINES,RMG
3314,DEVELOP DOCUMENT AND IMPLEMENT SECURITY POLICY STANDARDS PROCEDURES AND GUIDELINESPOLICY DEVELOPMENT,RMG
3315,DEVELOPER ENVIRONMENT,SSL
3316,DEVELOPERS,WAM;CPS;HF;LR;SSL;SS;SO;AC;F
3317,DEVELOPERS AND PASSWORD SECURITY,HF
3318,DEVELOPERS FLUENCY,HF
3319,DEVELOPING A RISK ACTION PLAN,RMG
3320,DEVELOPING A RISK MANAGEMENT PROGRAM,RMG
3321,DEVELOPING AN AWARENESS PROGRAM,HF
3322,DEVELOPING AN INCIDENT RESPONSE PLAN,RMG
3323,DEVELOPING AN INFORMATION SECURITY PROGRAM ROAD MAP,RMG
3324,DEVELOPING AN INFORMATION SECURITY STRATEGY,RMG
3325,DEVELOPING AND PRESENTING THE BUSINESS CASE,RMG
3326,DEVELOPING IT RISK SCENARIOS,RMG
3327,DEVELOPMENT,HS;WAM;HF;LR;SSL;SS;RMG;SO;F;AC;INTRO;OSV;DSS;CPS;POR;AB;MAT;PLS
3328,DEVELOPMENT   ENDPOINT SECURITY   APPLICATION WHITELISTING,OSV
3329,DEVELOPMENT   ENDPOINT SECURITY   ENCRYPTION,C
3330,DEVELOPMENT   ENDPOINT SECURITY   HIDS,NS
3331,DEVELOPMENT   ENDPOINT SECURITY   HOST BASED FIREWALLS,NS
3332,DEVELOPMENT   ENDPOINT SECURITY   MDM,WAM
3333,DEVELOPMENT   ENDPOINT SECURITY   SECURE BROWSING,WAM
3334,DEVELOPMENT   ENDPOINT SECURITY   TRUSTED PLATFORM MODULE,HS
3335,DEVELOPMENT   FORENSICS AND,F
3336,DEVELOPMENT   PERIPHERAL DEVICE RECOGNITION,AAA
3337,DEVELOPMENT   SYNCHRONOUS TOKEN DEVICES,AAA
3338,DEVELOPMENT   WATERFALL MODEL,SSL
3339,DEVELOPMENT METHODOLOGY,SSL
3340,DEVELOPMENT OF STANDARDISED CRYPTOGRAPHY,AC
3341,DEVICE AUTHENTICATION,AAA
3342,DEVICE CAPABILITIES,HF
3343,DEVICE CAPABILITIES AND LIMITATIONS,HF
3344,DEVICE FINGERPRINTS,PLS
3345,DEVICE IDENTIFICATION,PLS
3346,DEVICE IDENTIFIER COMPOSITION ENGINE,CPS
3347,DEVICE LEVEL RING,CPS
3348,DEVICE LIMITATIONS,HF
3349,DEVICE METADATA,POR
3350,DEVICE UNDER IDENTIFICATION,PLS
3351,DEVICES,AAA
3352,DEVOPS,SO;SSL
3353,DEVSECOPS,SSL
3354,DFRWS,F
3355,DFRWS  DIGITAL FORENSIC SCIENCE RESEARCH WORKSHOP ,F
3356,DHCP  DYNAMIC HOST CONFIGURATION PROTOCOL ,NS
3357,DHCP ATTACKS,NS
3358,DIACAP,RMG
3359,DIACAP   LIFE CYCLE PHASES,LR
3360,DIAGNOSTICS,SSL
3361,DIAL UP ACCESS CONTROLS,PLS
3362,DIAL UP MODEM,PLS
3363,DIAMETER,AAA
3364,DICTIONARIES,SO
3365,DICTIONARY ATTACK,C
3366,DIET SUPPLEMENTS,AB
3367,DIFF EQUIVALENCE,FM
3368,DIFF TERM,FM
3369,DIFFERENCES FROM FINANCIALLY MOTIVATED ATTACKS,AB
3370,DIFFERENT PERMISSION APPROACHES,WAM
3371,DIFFERENTIAL ANALYSIS,F
3372,DIFFERENTIAL AND HIGHER ORDER POWER ANALYSIS,HS
3373,DIFFERENTIAL BACKUPS,SO
3374,DIFFERENTIAL CRYPTANALYSIS,C
3375,DIFFERENTIAL CRYPTOANALYSIS,C
3376,DIFFERENTIAL EQUATIONS,CPS
3377,DIFFERENTIAL FAULT ANALYSIS,HS
3378,DIFFERENTIAL FAULT ANALYSIS  DFA ,HS
3379,DIFFERENTIAL POWER ANALYSIS,HS
3380,DIFFERENTIAL PRIVACY,FM;CPS;POR
3381,DIFFIE  HELLMAN  MARKLE,C
3382,DIFFIE HELLMAN ALGORITHM,C
3383,DIFFIE HELLMAN INTEGRATED ENCRYPTION SCHEME,AC
3384,DIFFIE HELLMAN KEY AGREEMENT,C
3385,DIFFIE HELLMAN KEY EXCHANGE,NS;C;POR;LR;FM;AC
3386,DIFFIE HELLMAN PROBLEM,C
3387,DIFFUSION,C
3388,DIFICULTY OF DEFENCE,POR
3389,DIGINOTAR,WAM;AC
3390,DIGIPASS,HF
3391,DIGITAL  FORENSIC  TRACE,F
3392,DIGITAL   CERTIFICATE,C
3393,DIGITAL   RIGHTS MANAGEMENT  DRM ,POR
3394,DIGITAL   SIGNATURE,C;AC
3395,DIGITAL   SUBSCRIBER LINE  DSL ,PLS
3396,DIGITAL ASSISTANT,CPS
3397,DIGITAL CERTIFICATE,C
3398,DIGITAL CERTIFICATES,C;AAA
3399,DIGITAL CODE SIGNING,C
3400,DIGITAL DISTRIBUTED SYSTEMS SECURITY ARCHITECTURE,AAA
3401,DIGITAL DISTRIBUTION PLATFORM,WAM
3402,DIGITAL ENHANCED CORDLESS TELECOMMUNICATIONS,PLS
3403,DIGITAL ENHANCED CORDLESS TELECOMMUNICATIONS  DECT ,PLS
3404,DIGITAL ENVELOPE,C
3405,DIGITAL FOOTPRINT,POR
3406,DIGITAL FORENSIC TOOLS TECHNIQUES AND PROCEDURES,F
3407,DIGITAL FORENSICS,NS;INTRO;F
3408,DIGITAL FORENSICS RESEARCH WORKSHOP,F
3409,DIGITAL IDENTITY GUIDELINES,AAA
3410,DIGITAL RIGHTS MANAGEMENT,HS;POR;LR;AAA
3411,DIGITAL RIGHTS MANAGEMENT  DRM ,POR;AAA
3412,DIGITAL SAMPLING,PLS
3413,DIGITAL SERIAL INTERFACE,PLS
3414,DIGITAL SIGNATURE,NS;WAM;POR;LR;SSL;AC;AAA;PLS;C;OSV;DSS
3415,DIGITAL SIGNATURE ALGORITHM,C
3416,DIGITAL SIGNATURE AND NONREPUDIATION,C
3417,DIGITAL SIGNATURES,C;AC
3418,DIGITAL SUBSCRIBER LINES  DSL ,PLS
3419,DIKES,CPS
3420,DIM  DATA IN MOTION ,LR
3421,DIMENSIONS,MAT
3422,DIPLOMATIC ISSUE,LR
3423,DIRECT ANONYMOUS ATTESTATION,C;AC;AAA
3424,DIRECT ATTACHED STORAGE  DAS ,OSV
3425,DIRECT ATTACKS,OSV
3426,DIRECT CODE INJECTION ATTACK,SS
3427,DIRECT INWARD DIAL  DID ,PLS
3428,DIRECT MEMORY ACCESS,OSV
3429,DIRECT PRECISION REDUCTION,POR
3430,DIRECT ROUTING TABLE,DSS
3431,DIRECT SEQUENCE SPREAD SPECTRUM,PLS
3432,DIRECT SEQUENCE SPREADING,PLS
3433,DIRECT SEQUENCY SPREAD SPECTRUM,PLS
3434,DIRECT SEQUENCE SPREAD SPECTRUM,PLS
3435,DIRECTIVE 2013 40 EU ON ATTACKS AGAINST INFORMATION SYSTEMS,LR
3436,DIRECTIVE CONTROLS,SSL
3437,DIRECTIVE ON PRIVACY AND ELECTRONIC COMMUNICATIONS,AB
3438,DIRECTORY,WAM;OSV;POR;MAT;SO;F;AAA
3439,DIRECTORY   ACCESS PROTOCOL  DAP ,AAA
3440,DIRECTORY   INFORMATION SHADOWING PROTOCOL  DISP ,AAA
3441,DIRECTORY   MANAGEMENT,AAA
3442,DIRECTORY   SYSTEM PROTOCOL  DSP ,AAA
3443,DIRECTORY   TECHNOLOGIES,AAA
3444,DISABILITY,HF
3445,DISADVANTAGES OF ENCRYPTION,NS
3446,DISASSEMBLY,MAT
3447,DISASTER   PREPAREDNESS,SO
3448,DISASTER   RECOVERY  DR ,SO
3449,DISASTER   RECOVERY  DR     PROCESS,SO
3450,DISASTER RECOVERY,SO;SSL
3451,DISASTER RECOVERY AND BUSINESS CONTINUITY,SO
3452,DISASTER RECOVERY AS A SERVICE  DRAAS ,DSS
3453,DISASTER RECOVERY MANAGEMENT PLANNING,SO
3454,DISASTER RECOVERY PLAN   DEFINED,SO
3455,DISASTER RECOVERY PLAN   IN INCIDENT MANAGEMENT,SO
3456,DISASTER RECOVERY PLAN   TESTING,SO
3457,DISASTER RECOVERY PLAN DESK CHECKING,SO
3458,DISASTER RECOVERY PLAN WALK THROUGH,SO
3459,DISASTER RECOVERY PLANNING,SO
3460,DISASTER RECOVERY PLANNING  DRP ,SO
3461,DISASTER RECOVERY PROCEDURES,SO
3462,DISASTER BUSINESS RECOVERY DOCUMENTATION,SO
3463,DISCLOSURE CONTROL,POR
3464,DISCONNECTS BETWEEN DEVELOPERS AND USERS,HF
3465,DISCRETE COORDINATOR,DSS
3466,DISCRETE LOGARITHM PROBLEM,C;AC
3467,DISCRETE LOGARITHM PROBLEMS,C
3468,DISCRETE MATHEMATICS,FM
3469,DISCRETE WAVELET TRANSFORM,PLS
3470,DISCRETE TIME CONTROL,CPS
3471,DISCRETE TIME MARKOV CHAINS,CPS;FM
3472,DISCRETIONARY ACCESS CONTROL,SSL;OSV;AAA
3473,DISCRETIONARY ACCESS CONTROL  DAC ,AAA
3474,DISCRETIONARY ACCESS CONTROLS,OSV
3475,DISCRETIONARY ACCESS CONTROLS  DAC ,AAA
3476,DISCRIMINATION,LR
3477,DISCUSSION,RMG;AB
3478,DISGRUNTLED EMPLOYEE,CPS;RMG
3479,DISGRUNTLED EMPLOYEES,CPS
3480,DISINCENTIVE,SSL
3481,DISINFORMATION,AB
3482,DISINHIBITION EFFECT,AB
3483,DISK BLOCKS,OSV
3484,DISK ENCRYPTION,OSV
3485,DISK IMAGE,F
3486,DISK SECTOR,F
3487,DISK WIPING,SO
3488,DISPATCHER,MAT
3489,DISPERSION,DSS
3490,DISPLACEMENT,AB
3491,DISPLAY CABLE,OSV
3492,DISPOSAL,SSL
3493,DISPOSAL PHASE AUDITING,SSL
3494,DISPOSITION PHASE,SSL
3495,DISPUTE RESOLUTION,LR
3496,DISRUPTING MALWARE OPERATIONS,MAT
3497,DISRUPTION,NS;DSS;SS
3498,DISRUPTION ATTACK,DSS;SS
3499,DISTANCE BOUNDING,PLS;CPS
3500,DISTANCE BOUNDING AND SECURE POSITIONING,PLS
3501,DISTANCE BOUNDING PROTOCOLS,PLS
3502,DISTANCE COMPUTATION,MAT
3503,DISTANCE DECREASING ATTACK,PLS
3504,DISTANCE FRAUD,PLS
3505,DISTANCE FUNCTION,DSS
3506,DISTANCE HIJACKING,PLS
3507,DISTANCE MEASUREMENT,PLS
3508,DISTANCE MEASUREMENT TECHNIQUES,PLS
3509,DISTANCE SHORTENING,PLS
3510,DISTRIBUTED   CONTROL SYSTEMS  DCS ,DSS
3511,DISTRIBUTED   DENIAL OF SERVICE  DDOS ,NS
3512,DISTRIBUTED   DENIAL OF SERVICE  DDOS     ZOMBIES,NS
3513,DISTRIBUTED   SYSTEMS,DSS
3514,DISTRIBUTED   TRANSACTION PROCESSING  DTP ,NS
3515,DISTRIBUTED APPLICATION,DSS
3516,DISTRIBUTED COMPOSITION,INTRO
3517,DISTRIBUTED COMPUTATION,F
3518,DISTRIBUTED COMPUTING,DSS
3519,DISTRIBUTED COMPUTING ENVIRONMENT,DSS
3520,DISTRIBUTED COMPUTING ENVIRONMENT  DCE ,DSS
3521,DISTRIBUTED CONTROL SYSTEMS,CPS
3522,DISTRIBUTED DATABASE,DSS
3523,DISTRIBUTED DENIAL OF SERVICE,NS;CPS;AB;LR;DSS;SO;MAT
3524,DISTRIBUTED DENIAL OF SERVICE  DDOS  ATTACK,NS
3525,DISTRIBUTED DENIAL OF SERVICE  DDOS  ATTACKS,NS
3526,DISTRIBUTED DENIAL OF SERVICE ATTACKS,NS
3527,DISTRIBUTED FILE SYSTEM,DSS
3528,DISTRIBUTED HASH TABLE,DSS
3529,DISTRIBUTED HASH TABLE  DHT  SECURITY,NS
3530,DISTRIBUTED HASH TABLES,NS
3531,DISTRIBUTED IRT,SO
3532,DISTRIBUTED LEDGER,HS;INTRO;C;POR;DSS
3533,DISTRIBUTED LEDGERS,POR
3534,DISTRIBUTED LOGGING,AAA
3535,DISTRIBUTED LOGS,AAA
3536,DISTRIBUTED OBJECT PLATFORM,DSS
3537,DISTRIBUTED PROGRAMMING,DSS
3538,DISTRIBUTED RESOURCE,DSS
3539,DISTRIBUTED SCANNING,SO
3540,DISTRIBUTED SPOOFER,PLS
3541,DISTRIBUTED SYSTEM,NS
3542,DISTRIBUTED SYSTEMS,HS;CPS;SSL;AAA;INTRO;OSV;FM;DSS
3543,DIT  DIRECTORY INFORMATION TREE ,AAA
3544,DITSCAP,RMG
3545,DITSCAP   LIFE CYCLE PHASES,LR
3546,DIU  DATA IN USE ,DSS
3547,DIVERGENT LOOKUP,DSS
3548,DIVERSE ROUTING,NS
3549,DIVERSIFICATION,SS;AC
3550,DIVERSITY,WAM;CPS;HF;POR;LR;AB;SS;RMG;SO;AC;MAT;INTRO;DSS
3551,DIVERSITY TRAINING,HF
3552,DIVISION BY ZERO,FM
3553,DLLS  DYNAMIC LINK LIBRARIES ,SS
3554,DLP  DATA LEAK PROTECTION ,SO
3555,DLP  DATA LEAKAGE PREVENTION ,SO
3556,DMA,OSV
3557,DMARC,HF
3558,DMTF,SO
3559,DMZ,NS
3560,DMZ  DEMILITARIZED ZONE ,NS
3561,DMZ BASTION OR SCREENED HOSTS,SO
3562,DN  DISTINGUISHED NAME ,AAA
3563,DNP3,CPS
3564,DNS,NS;WAM;FM;AB;SO;MAT
3565,DNS  DOMAIN NAME SYSTEM    CACHE POISONING,NS
3566,DNS  DOMAIN NAME SYSTEM    DDOS  DISTRIBUTED DENIAL OF  SERVICE ,NS
3567,DNS  DOMAIN NAME SYSTEM    DOS  DENIAL OF SERVICE ,NS
3568,DNS  DOMAIN NAME SYSTEM    FAST FLUX,NS
3569,DNS  DOMAIN NAME SYSTEM    REGISTRATION TAKE OVER,NS
3570,DNS  DOMAIN NAME SYSTEM    TUNNELS,NS
3571,DNS  DOMAIN NAME SYSTEM    ZONE ENUMERATION,NS
3572,DNS  DOMAIN NAME SYSTEMS ,NS
3573,DNS  DOMAIN NAME SYSTEMS    ATTACKS   CACHE POISONING,NS
3574,DNS  DOMAIN NAME SYSTEMS    ATTACKS   DDOS,NS
3575,DNS  DOMAIN NAME SYSTEMS    ATTACKS   DOS,NS
3576,DNS  DOMAIN NAME SYSTEMS    ATTACKS   FAST FLUX,NS
3577,DNS  DOMAIN NAME SYSTEMS    ATTACKS   QUERY INTERCEPTION,NS
3578,DNS  DOMAIN NAME SYSTEMS    ATTACKS   QUERY REDIRECTION,NS
3579,DNS  DOMAIN NAME SYSTEMS    ATTACKS   REGISTRATION TAKE OVER,NS
3580,DNS  DOMAIN NAME SYSTEMS    ATTACKS   TUNNELS,NS
3581,DNS  DOMAIN NAME SYSTEMS    ATTACKS   ZONE ENUMERATION,NS
3582,DNS  DOMAIN NAME SYSTEMS    AUTHORITATIVE SERVER,NS
3583,DNS  DOMAIN NAME SYSTEMS    FQDN,NS
3584,DNS  DOMAIN NAME SYSTEMS    HIERARCHY,NS
3585,DNS  DOMAIN NAME SYSTEMS    QUERY MANIPULATION,NS
3586,DNS  DOMAIN NAME SYSTEMS    RECURSION,NS
3587,DNS  DOMAIN NAME SYSTEMS    RECURSIVE RESOLVER,NS
3588,DNS  DOMAIN NAME SYSTEMS    RESOLUTION PROCESS,NS
3589,DNS  DOMAIN NAME SYSTEMS    RESOLVER,NS
3590,DNS  DOMAIN NAME SYSTEMS    RR  RESOURCE RECORD ,NS
3591,DNS  DOMAIN NAME SYSTEMS    SPOOFING,NS
3592,DNS  DOMAIN NAME SYSTEMS    WEB BASED ATTACKS AND,NS
3593,DNS  DOMAIN NAME SYSTEMS    ZONE TRANSFERS,NS
3594,DNS  DOMAIN NAME SYSTEMS    ZONES,NS
3595,DNS AS DDOS AMPLIFIER,SO
3596,DNS ATTACKS,NS
3597,DNS CACHE POISONING,NS
3598,DNS FAST FLUX,MAT
3599,DNS HIJACKING,NS
3600,DNS OVER HTTPS,NS
3601,DNS QUERIES    MANIPULATION,OSV;AB
3602,DNS RESOLUTION,MAT
3603,DNS SECURITY,NS
3604,DNS SECURITY EXTENSIONS,NS
3605,DNS SERVER,NS
3606,DNS SPOOFING,NS
3607,DNSCHANGER,MAT
3608,DNSSEC,NS;SO
3609,DNSSEC  DOMAIN NAME SYSTEM SECURITY EXTENSIONS ,NS
3610,DNSSEC  DOMAIN NAME SYSTEM SECURITY EXTENSIONS    DC1   CONFIGURATION,NS
3611,DNSSEC  DOMAIN NAME SYSTEM SECURITY EXTENSIONS    DC1   TRUST ANCHORS,NS
3612,DNSSEC  DOMAIN NAME SYSTEM SECURITY EXTENSIONS    DC1   ZONE SIGNING,NS
3613,DNSSEC  DOMAIN NAME SYSTEM SECURITY EXTENSIONS    DNS1 CONFIGURATION,NS
3614,DNSSEC  DOMAIN NAME SYSTEM SECURITY EXTENSIONS    HARDWARE REQUIREMENTS,NS
3615,DNSSEC  DOMAIN NAME SYSTEM SECURITY EXTENSIONS    SOFTWARE REQUIREMENTS,NS
3616,DOCKER,OSV
3617,DOCTOR,POR
3618,DOCUMENT AND COMMUNICATE FINDINGS,SO
3619,DOCUMENT IMPLEMENT AND MAINTAIN FUNCTIONAL SECURITY CONTROLS,RMG
3620,DOCUMENT MACROS,MAT
3621,DOCUMENT MAINTENANCE,RMG
3622,DOCUMENT REVIEW,RMG
3623,DOCUMENT WHAT YOU HAVE LEARNED,SO
3624,DOCUMENTATION,CPS;RMG;HF;F;SSL;SS;AC
3625,DOCUMENTATION   AS POSTINCIDENT ACTIVITY,SO
3626,DOCUMENTATION   CERTIFICATION TEST PLAN PROCEDURES,SO
3627,DOCUMENTATION   FOR RISK MANAGEMENT,HF
3628,DOCUMENTATION   IN RISK MANAGEMENT FRAMEWORK,RMG
3629,DOCUMENTATION   REVIEW OF DURING CERTIFICATION TESTING,SO
3630,DOCUMENTATION   RISK ASSESSMENT,RMG
3631,DOCUMENTATION   ROLES AND RESPONSIBILITIES,RMG
3632,DOCUMENTATION   SECURITY AUDITS,SO
3633,DOCUMENTATION   SYSTEM SECURITY PLANS,SO
3634,DOCUMENTATION AND CLEANUP,SSL
3635,DOCUMENTING EVENTS,SO
3636,DOCUMENTING RISK ASSESSMENTS,RMG
3637,DOCUMENTING THE PLAN,RMG
3638,DOD MANUAL,LR
3639,DODAF  DEPT OF DEFENSE ARCHITECTURE FRAMEWORK ,SO
3640,DOLEV YAO ADVERSARIAL MODEL,NS
3641,DOLEV YAO MODEL,NS;PLS;FM
3642,DOMAIN    LITIGATION,AB
3643,DOMAIN FLUX,AB
3644,DOMAIN GENERATION ALGORITHM,MAT
3645,DOMAIN KEYS IDENTIFIED MAIL,HF
3646,DOMAIN NAME,NS;LR;SO;AAA;MAT
3647,DOMAIN NAME BLACKLIST,SO
3648,DOMAIN NAME SYSTEM,NS
3649,DOMAIN OBJECT MODEL,WAM
3650,DOMAIN REGISTRAR,AB
3651,DOMAIN SEPARATIONS,OSV
3652,DOMAIN SPECIFIC PROCESSORS,HS
3653,DOMAIN NAME GENERATION ALGORITHMS,MAT
3654,DOMAIN SPECIFIC,HS;CPS;FM;SSL;SS;AC
3655,DOMESTIC LAW,LR
3656,DOS  DENIAL OF SERVICE ,NS
3657,DOS  DENIAL OF SERVICE  ATTACK,NS
3658,DOS COUNTERMEASURES,NS
3659,DOTNET@.NET  DOTNET ,AAA
3660,DOUBLE FETCH,OSV
3661,DOUBLE FILE EXTENSIONS,AB
3662,DOUBLE RATCHETING,POR;AC
3663,DOUBLE SIGNING DETECTION,POR
3664,DOUBLE SPENDING,POR
3665,DOUBLE TAGGING,NS
3666,DOWNLOAD AGREEMENT,MAT
3667,DOWNLOADED FILES,F
3668,DOWNSTREAM PATH,POR
3669,DOWNTIME REPORT,SO
3670,DOX3D,HF
3671,DOXING,AB
3672,DOXXING,AB
3673,DP 3T,AC
3674,DRAAS  DISASTER RECOVERY AS A SERVICE ,DSS
3675,DRAGONFLY KEY EXCHANGE,NS
3676,DRAWBACKS,OSV
3677,DREAD RISK,RMG
3678,DRIFTING CLOCK,HS
3679,DRIVE PARTITION,F
3680,DRIVE BY DOWNLOAD ATTACKS,AB
3681,DRIVE BY DOWNLOAD ATTACKS,WAM
3682,DRIVE BY DOWNLOADS,WAM;AB;AAA
3683,DRIVER,OSV;FM;MAT
3684,DRIVER SIGNING,OSV
3685,DRIVING HABITS,CPS
3686,DRM  DIGITAL RIGHTS MEASUREMENT ,POR
3687,DRONES,PLS;CPS
3688,DROPBOX,F
3689,DROPPERS,MAT
3690,DRP  DISASTER RECOVERY PLAN ,SO
3691,DRUG DEALING,AC;AB
3692,DRUG DELIVERY SYSTEM,CPS
3693,DRUG TRADE,AB
3694,DRUG TREATMENT,RMG
3695,DSA,C
3696,DUAL CONTROL,AAA
3697,DUAL CONTROL AUTHENTICATION,AAA
3698,DUAL CRIMINALITY,LR
3699,DUAL STACK,NS
3700,DUAL USE GOODS,LR
3701,DUAL HOMED FIREWALL,NS
3702,DUE   CARE,SO
3703,DUE CARE,RMG
3704,DUE DILIGENCE,RMG;SO;LR
3705,DUE PROFESSIONAL CARE,RMG
3706,DUMMY ADDITION,POR
3707,DUMMY OPERATIONS,HS
3708,DUMMY PACKETS,AC
3709,DUMPSTER DIVING,AB
3710,DUMPZ,AB
3711,DUPLICATE SIGNATURE KEY SELECTION ATTACK,AC
3712,DUPLICATE SITE,SO
3713,DURABILITY,CPS;DSS;F
3714,DUTY OF CARE,LR
3715,DYNAMIC   LINK LIBRARIES  DLLS ,OSV
3716,DYNAMIC ANALYSIS,WAM;SSL;SS;SO;AC;MAT;FM;FMS
3717,DYNAMIC BINARY INSTRUMENTATION,MAT
3718,DYNAMIC CHECKS,SS
3719,DYNAMIC CONTROL PROBLEM,RMG
3720,DYNAMIC DETECTION,SS
3721,DYNAMIC DNS,MAT
3722,DYNAMIC GROUP SIGNATURE SCHEME,C
3723,DYNAMIC HOST CONFIGURATION PROTOCOL  DHCP ,NS
3724,DYNAMIC INTERCONNECTIONS,RMG
3725,DYNAMIC IP ADDRESS,LR
3726,DYNAMIC LANGUAGE,SS
3727,DYNAMIC MEMBERSHIP,DSS
3728,DYNAMIC MEMORY ALLOCATION,SS
3729,DYNAMIC PACKET FILTERING,NS
3730,DYNAMIC PASSWORDS,AAA
3731,DYNAMIC PASSWORDS   SYNCHRONOUS,AAA
3732,DYNAMIC POLICIES,AAA
3733,DYNAMIC PRICING,CPS
3734,DYNAMIC QUERIES VULNERABILITIES AND,SS
3735,DYNAMIC RANDOM ACCESS MEMORY,HS;SS
3736,DYNAMIC ROOT OF TRUST,HS
3737,DYNAMIC ROUTING TABLES,NS
3738,DYNAMIC SUBSYSTEMS NIST SP 800 37 REVISION 1 GUIDANCE ON,RMG
3739,DYNAMIC SYMBOLIC EXECUTION,SS
3740,DYNAMIC SYSTEM,CPS
3741,DYNAMIC THRESHOLD,PLS
3742,DYNAMIC TOKENS,AAA
3743,DYNAMIC TRUNKING PROTOCOL,NS
3744,DYNAMIC TYPING,WAM
3745,DYNAMICALLY CONFIGURABLE APPLICATIONS,AAA
3746,DYNAMICALLY UPDATABLE,MAT
3747,DYNAMODB,DSS
3748,DYNDNS,SO
3749,E COINS,POR
3750,E COMMERCE SUPPORTING TRANSACTIONS,DSS
3751,E DISCOVERY,LR
3752,E GOVERNMENT ACT OF 2002,LR
3753,E MAIL   PHISHING,WAM
3754,E MAIL   SPOOFING,WAM
